REF_DATE,GEO,DGUID,Capital and repair expenditures,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2006,Saskatchewan,2021A000247,Capital expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926168,9.1.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95926172,9.1.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926173,9.1.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95926174,9.1.31,,..,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95926182,9.1.39,400.6,,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95926186,9.1.43,23.3,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95926206,9.2.9,,x,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926208,9.2.11,2.1,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Construction [23],Dollars,81,millions,6,v95926210,9.2.13,11.9,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Manufacturing [31-33],Dollars,81,millions,6,v95926211,9.2.14,207.7,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926222,9.2.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95926226,9.2.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926227,9.2.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95926228,9.2.31,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95926236,9.2.39,182.2,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95926240,9.2.43,6.7,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95926260,9.3.9,,x,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926262,9.3.11,67.1,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Construction [23],Dollars,81,millions,6,v95926264,9.3.13,77.2,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95926265,9.3.14,205.9,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926276,9.3.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95926280,9.3.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926281,9.3.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95926282,9.3.31,,..,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment",Transportation and warehousing [48-49],Dollars,81,millions,6,v95926290,9.3.39,218.4,,,,1,2006
2006,Saskatchewan,2021A000247,"Capital, machinery and equipment","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95926294,9.3.43,16.6,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95926314,9.4.9,107.3,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926316,9.4.11,32.1,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Construction [23],Dollars,81,millions,6,v95926318,9.4.13,77.2,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95926319,9.4.14,150.3,,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95926330,9.4.25,,..,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95926334,9.4.29,,..,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95926335,9.4.30,,..,,,1,2006
2006,Saskatchewan,2021A000247,Repair expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95926336,9.4.31,,..,,,1,2006
